NO,SOAL,PILIHAN A,PILIHAN B,PILIHAN C,PILIHAN D,KUNCI,timer,GAMBAR
16,Gradien garis dengan persamaan $2x + 4y = 8$ adalah ...,$2$,$-2$,$\frac{1}{2}$,$-\frac{1}{2}$,D,60,
17,"Gradien garis yang melalui titik $A(2, 3)$ dan $B(4, 7)$ adalah ...",$1$,$2$,$3$,$4$,B,60,
18,"Persamaan garis yang melalui titik $(0,0)$ dan bergradien $5$ adalah ...",$y = 5x$,$y = -5x$,$y = x + 5$,$x = 5y$,A,60,
19,"Persamaan garis yang melalui titik $(2, 1)$ dan bergradien $3$ adalah ...",$y = 3x + 5$,$y = 3x - 5$,$y = 2x + 1$,$y = 3x - 1$,B,60,
20,Garis $y = 2x + 5$ sejajar dengan garis ...,$y = -2x + 3$,$y = \frac{1}{2}x + 1$,$2y = 4x - 1$,$2x + y = 5$,C,60,
21,Hubungan dua garis $y = 3x + 1$ dan $y = -\frac{1}{3}x + 2$ adalah ...,Sejajar,Berimpit,Tegak lurus,Bersilangan,C,60,
22,"Persamaan garis lurus yang melalui titik $(1, 2)$ dan $(3, 4)$ adalah ...",$y = x + 1$,$y = x - 1$,$y = 2x$,$y = -x + 3$,A,60,
23,Titik potong garis $2x + 3y = 12$ terhadap sumbu $x$ adalah ...,"$(0, 4)$","$(4, 0)$","$(6, 0)$","$(0, 6)$",C,60,
24,"Jika titik $(a, 2)$ terletak pada garis $y = 3x - 4$, nilai $a$ adalah ...",$1$,$2$,$3$,$4$,B,60,
25,Gradien garis yang sejajar dengan sumbu $x$ adalah ...,$0$,$1$,Tak terdefinisi,$-1$,A,60,
26,"Persamaan garis yang melalui $(2,-3)$ dan sejajar garis $y = -x + 5$ adalah ...",$y = -x - 1$,$y = -x + 1$,$y = x - 5$,$y = x - 1$,A,60,
27,Gradien garis yang tegak lurus dengan garis $3y - x + 6 = 0$ adalah ...,$3$,$-3$,$\frac{1}{3}$,$-\frac{1}{3}$,B,60,
28,Bentuk umum persamaan kuadrat adalah ... ($a \ne 0$),$ax + b = 0$,$ax^2 + bx + c = 0$,$ax^2 + by + c = 0$,$y = mx + c$,B,60,
29,Akar-akar dari persamaan $x^2 - 9 = 0$ adalah ...,$3$ dan $3$,$3$ dan $-3$,$9$ dan $-9$,$0$ dan $9$,B,60,
30,Faktor dari persamaan $x^2 + 5x + 6 = 0$ adalah ...,$(x+2)(x+3)$,$(x-2)(x-3)$,$(x+1)(x+6)$,$(x-1)(x-6)$,A,60,
31,Salah satu akar persamaan $x^2 - 5x - 24 = 0$ adalah ...,$-3$,$3$,$-8$,$4$,A,60,
32,"Jika akar-akar $x^2 + bx + c = 0$ adalah $2$ dan $3$, maka persamaannya ...",$x^2 + 5x + 6 = 0$,$x^2 - 5x + 6 = 0$,$x^2 - x - 6 = 0$,$x^2 + x - 6 = 0$,B,60,
33,Nilai diskriminan ($D$) dari $x^2 + 4x - 5 = 0$ adalah ...,$16$,$20$,$36$,$4$,C,60,
34,"Jika diskriminan $D = 0$, maka persamaan kuadrat memiliki ...",Dua akar real berbeda,Dua akar real kembar,Tidak punya akar real,Tiga akar real,B,60,
35,Rumus ABC untuk mencari akar persamaan kuadrat adalah ...,$\frac{-b \pm \sqrt{b^2 - 4ac}}{2a}$,$\frac{b \pm \sqrt{b^2 - 4ac}}{2a}$,$\frac{-b \pm \sqrt{b^2 + 4ac}}{2a}$,$\frac{-b \pm \sqrt{b^2 - 4ac}}{a}$,A,60,
36,Hasil kali akar-akar persamaan $2x^2 - 8x + 6 = 0$ adalah ...,$2$,$3$,$4$,$-3$,B,60,
37,Jumlah akar-akar persamaan $x^2 - 6x + 8 = 0$ adalah ...,$6$,$-6$,$8$,$-8$,A,60,
38,Persamaan kuadrat yang akar-akarnya $-2$ dan $5$ adalah ...,$x^2 - 3x - 10 = 0$,$x^2 + 3x - 10 = 0$,$x^2 - 3x + 10 = 0$,$x^2 + 7x + 10 = 0$,A,60,
39,Nilai $c$ agar persamaan $x^2 + 6x + c = 0$ memiliki akar kembar adalah ...,$3$,$6$,$9$,$36$,C,60,
40,Sebuah persegi panjang memiliki luas $24 \text{ cm}^2$. Panjangnya $2$ cm lebih dari lebarnya. Lebar persegi panjang tersebut adalah ...,$2 \text{ cm}$,$3 \text{ cm}$,$4 \text{ cm}$,$6 \text{ cm}$,C,60,
